geoid,rural_ruca,rural_fhfa,rural_forhp,rural_rucc,rural_uic,rural_cdc,rural_cbsa_2020,rural_cbsa_2013,rural_far,geoid_st
13001950100,1,1,1,1,1,1,1,1,0,13
13001950200,1,1,1,1,1,1,1,1,0,13
13001950300,1,1,1,1,1,1,1,1,0,13
13001950400,1,1,1,1,1,1,1,1,0,13
13001950500,1,1,1,1,1,1,1,1,0,13
13003960100,1,1,1,1,1,1,1,1,0,13
13003960200,1,1,1,1,1,1,1,1,0,13
13003960300,1,1,1,1,1,1,1,1,0,13
13005970100,1,1,1,1,1,1,1,1,0,13
13005970201,1,1,1,1,1,1,1,1,1,13
13005970202,1,1,1,1,1,1,1,1,1,13
13007960100,0,1,1,0,0,0,1,0,0,13
13007960200,0,1,1,0,0,0,1,0,0,13
13009970100,1,1,1,1,1,1,1,1,0,13
13009970200,1,1,1,1,1,1,1,1,0,13
13009970300,1,1,1,1,1,1,1,1,0,13
13009970400,1,1,1,1,1,1,1,1,0,13
13009970500,1,1,1,1,1,1,1,1,0,13
13009970600,1,1,1,1,1,1,1,1,0,13
13009970701,1,1,1,1,1,1,1,1,0,13
13009970702,1,1,1,1,1,1,1,1,0,13
13009970800,1,1,1,1,1,1,1,1,0,13
13011970100,0,1,1,1,1,1,1,1,0,13
13011970200,1,1,1,1,1,1,1,1,0,13
13011970300,0,1,1,1,1,1,1,1,0,13
13011970400,1,1,1,1,1,1,1,1,0,13
13013180103,0,0,0,0,0,0,0,0,0,13
13013180104,0,0,0,0,0,0,0,0,0,13
13013180105,0,0,0,0,0,0,0,0,0,13
13013180106,0,0,0,0,0,0,0,0,0,13
13013180107,0,0,0,0,0,0,0,0,0,13
13013180108,0,0,0,0,0,0,0,0,0,13
13013180203,0,0,0,0,0,0,0,0,0,13
13013180204,0,0,0,0,0,0,0,0,0,13
13013180205,0,0,0,0,0,0,0,0,0,13
13013180206,0,0,0,0,0,0,0,0,0,13
13013180301,0,0,0,0,0,0,0,0,0,13
13013180302,0,0,0,0,0,0,0,0,0,13
13013180303,0,0,0,0,0,0,0,0,0,13
13013180401,0,0,0,0,0,0,0,0,0,13
13013180402,0,0,0,0,0,0,0,0,0,13
13013180501,0,0,0,0,0,0,0,0,0,13
13013180502,0,0,0,0,0,0,0,0,0,13
13013180503,0,0,0,0,0,0,0,0,0,13
13015960101,0,1,0,0,0,0,0,0,0,13
13015960102,0,1,0,0,0,0,0,0,0,13
13015960200,1,1,1,0,0,0,0,0,0,13
13015960300,0,1,0,0,0,0,0,0,0,13
13015960401,0,0,0,0,0,0,0,0,0,13
13015960402,0,0,0,0,0,0,0,0,0,13
13015960500,0,0,0,0,0,0,0,0,0,13
13015960600,0,0,0,0,0,0,0,0,0,13
13015960700,0,0,0,0,0,0,0,0,0,13
13015960801,0,0,0,0,0,0,0,0,0,13
13015960802,0,0,0,0,0,0,0,0,0,13
13015960803,0,0,0,0,0,0,0,0,0,13
13015960901,0,0,0,0,0,0,0,0,0,13
13015960902,0,0,0,0,0,0,0,0,0,13
13015961000,0,0,0,0,0,0,0,0,0,13
13017960100,1,1,1,1,1,1,1,1,1,13
13017960200,1,1,1,1,1,1,1,1,0,13
13017960300,1,1,1,1,1,1,1,1,1,13
13017960400,1,1,1,1,1,1,1,1,1,13
13017960500,1,1,1,1,1,1,1,1,1,13
13019970100,0,1,1,1,1,1,1,1,0,13
13019970200,1,1,1,1,1,1,1,1,0,13
13019970300,0,1,1,1,1,1,1,1,0,13
13019970400,0,1,1,1,1,1,1,1,0,13
13019970500,0,1,1,1,1,1,1,1,0,13
13019970600,0,1,1,1,1,1,1,1,0,13
13021010100,0,0,0,0,0,0,0,0,0,13
13021010200,0,0,0,0,0,0,0,0,0,13
13021010300,0,0,0,0,0,0,0,0,0,13
13021010400,0,0,0,0,0,0,0,0,0,13
13021010500,0,0,0,0,0,0,0,0,0,13
13021010800,0,0,0,0,0,0,0,0,0,13
13021011000,0,0,0,0,0,0,0,0,0,13
13021011100,0,0,0,0,0,0,0,0,0,13
13021011500,0,0,0,0,0,0,0,0,0,13
13021011701,0,0,0,0,0,0,0,0,0,13
13021011702,0,0,0,0,0,0,0,0,0,13
13021011800,0,0,0,0,0,0,0,0,0,13
13021011900,0,0,0,0,0,0,0,0,0,13
13021012000,0,0,0,0,0,0,0,0,0,13
13021012101,0,0,0,0,0,0,0,0,0,13
13021012102,0,0,0,0,0,0,0,0,0,13
13021012200,0,0,0,0,0,0,0,0,0,13
13021012300,0,0,0,0,0,0,0,0,0,13
13021012400,0,0,0,0,0,0,0,0,0,13
13021012500,0,0,0,0,0,0,0,0,0,13
13021012600,0,0,0,0,0,0,0,0,0,13
13021012700,0,0,0,0,0,0,0,0,0,13
13021012800,0,0,0,0,0,0,0,0,0,13
13021012900,0,0,0,0,0,0,0,0,0,13
13021013101,0,0,0,0,0,0,0,0,0,13
13021013102,0,0,0,0,0,0,0,0,0,13
13021013201,0,0,0,0,0,0,0,0,0,13
